ids,score
55061,0.55649793
67669,0.5565271
228925,0.023810012
4248,0.55648357
109584,0.62080854
117235,0.55648357
71898,0.2644694
109497,0.5564842
117936,0.61905414
116979,0.5564839
252165,0.6360358
44279,0.55664366
97390,0.5564839
60210,0.54484737
27707,0.55648357
214933,0.56777275
64394,0.55648357
209999,0.46130982
47952,0.55648357
232835,0.56863505
113706,0.39755538
247669,0.565747
37143,0.58645886
222156,0.15582168
28522,0.55653924
110978,0.23711106
147994,0.5103671
9344,0.6118104
159763,0.0017378771
207324,0.56294405
197822,0.56835073
277575,0.5581129
86673,0.5592881
135646,0.55648357
26928,0.5564842
277838,0.6219069
194447,0.613079
162291,0.56221557
241955,0.5534694
288229,0.21463539
228727,0.54847354
158349,0.55805373
35149,0.5564876
208373,0.56365377
95674,0.5907113
301420,0.5267182
241284,0.44148523
202356,0.54455376
285886,0.61678565
163692,0.5570759
186461,0.56291604
152120,0.5737865
18990,0.55648357
18537,0.55648357
48601,0.59140414
137011,0.114484936
219282,0.5941126
22464,0.55794805
65755,0.5698924
245706,0.5566864
287423,0.60725665
89739,0.55648357
81126,0.5573411
100791,0.56966966
207008,0.40302983
188109,0.5996345
169127,0.55648357
83855,0.5566181
55925,0.5583099
114130,0.61973995
4615,0.55648816
267570,0.6254723
141648,0.561245
115755,0.55657685
239250,0.07818281
280874,0.5635976
247176,0.5584972
5427,0.55648357
144839,0.55648357
119196,0.61909276
33804,0.55648357
213353,0.5926378
200073,0.59041655
58908,0.32617188
130684,0.59485656
127139,0.55659026
153533,0.5705341
247754,0.16240643
103987,0.55648357
184996,0.5568602
168241,0.55648357
87370,0.5565076
64828,0.58244747
50401,0.5818268
284865,0.6018019
72566,0.5049397
105858,0.450023
258192,0.5763004
268178,0.32265872
51396,0.5565398
59268,0.55723566
230134,0.62137103
272983,0.5580691
153108,0.5579265
249898,0.558773
58072,0.5571677
155982,0.55648357
7604,0.5917445
155078,0.559609
207304,0.5941468
149797,0.5631819
83974,0.557251
134604,0.55651724
129238,0.5564997
177062,0.55948275
115004,0.61972845
123888,0.55648357
275326,0.58557737
263850,0.54950505
397,0.0006046705
282900,0.55671895
299331,0.59514594
294413,0.004692734
214952,0.56401396
125832,0.5790374
300723,0.5781518
154067,0.55653787
147190,0.6142848
185143,0.5571864
139813,0.22653632
231189,0.5733428
222709,0.623283
2586,0.6163765
83759,0.55648357
102395,0.5565098
143501,0.55651104
105072,0.5907245
36496,0.5564838
297237,0.59175164
110414,0.6175407
159482,0.026004551
223082,0.56670994
182506,0.5674573
181647,0.15401562
40887,0.024336383
41386,0.5588418
238880,0.5293961
197940,0.6198664
263589,0.624223
41897,0.61527765
160464,0.61865574
266257,0.5947089
220420,0.5751482
130792,0.31060556
292116,0.6265744
46292,0.55648625
108542,0.13065766
242798,0.5918521
152896,0.5564846
30557,0.5565398
188106,0.5875897
57309,0.540586
140251,0.5565187
301969,0.5435863
129618,0.014616206
163867,0.0016174867
255423,0.564914
92079,0.5844761
237641,0.6109656
243116,0.3727218
24614,0.5333746
252460,0.6308208
172784,0.5572106
202879,0.5620879
252421,0.5833179
147171,0.004950109
286960,0.5994175
223507,0.55648845
183605,0.42661703
101711,0.58566004
279703,0.47616038
258466,0.041042376
214852,0.47885758
284973,0.08701069
207406,0.5648084
291153,0.31237808
150275,0.5565135
202504,0.6155442
213376,0.26265848
5352,0.5704051
252035,0.5577377
239700,0.17841502
245946,0.2644806
129634,0.6219989
213458,0.55673456
22621,0.60350984
135639,0.5674483
200331,0.5215955
172586,0.6118128
35912,0.5565733
97061,0.6142895
186483,0.10929535
132921,0.6040069
139301,0.5690366
117436,0.55648357
272242,0.5589344
116565,0.26266077
135662,0.55675095
114622,0.60712564
148507,0.61593086
143095,0.56611115
278391,0.29545975
236575,0.61910266
272591,0.5532194
222291,0.5131667
231834,0.5915479
17823,0.55648357
251525,0.6021339
173435,0.5825252
192812,0.5806965
161546,0.5599345
213921,0.59311855
162830,0.55866706
281006,0.030343957
158907,0.55650675
233090,0.55420685
301859,0.49294114
301018,0.625999
183330,0.16364942
9124,0.47063512
150711,0.6115075
10740,0.5318154
193502,0.449053
195152,0.46765837
129237,0.6117748
251797,0.3254943
112157,0.6189314
208031,0.62348664
32402,0.53801805
172173,0.5572304
303535,0.6204498
209749,0.55035406
85463,0.6181876
117558,0.55648357
168870,0.04869479
189837,0.57553625
1288,0.0006388939
227476,0.5419949
292712,0.57379174
112195,0.55648476
44104,0.55648357
285671,0.5943917
27078,0.5903204
218961,0.5956858
47491,0.5564836
125565,0.556485
93626,0.34874845
231117,0.6155659
178033,0.55675304
128005,0.57388705
289043,0.6208406
147692,0.5565606
270737,0.6041137
275053,0.6108831
10950,0.5619273
25482,0.5565214
69352,0.58567965
224120,0.6220146
287828,0.6092042
114283,0.5358532
277553,0.2064823
305592,0.5567225
245084,0.57842684
196817,0.5447137
265189,0.55672777
182379,0.44227833
166911,0.556507
116634,0.54239905
31599,0.5567164
214044,0.047924172
262737,0.6311004
199788,0.63728404
85225,0.3662087
108470,0.5588935
32201,0.6164309
294418,0.5586445
143615,0.5590604
130159,0.55701685
119764,0.5564863
169192,0.5564846
153061,0.5866995
201260,0.034508016
71329,0.5679264
176681,0.60687906
289487,0.6230051
386,0.5565354
143187,0.5865057
139030,0.59242463
214434,0.5603647
126002,0.55136245
115983,0.55693704
184700,0.5638289
140869,0.6191671
241338,0.57789475
182418,0.61098295
269121,0.59203494
254160,0.6209145
296493,0.5968612
154483,0.55648947
1706,0.5565038
13338,0.55648357
166956,0.557237
196018,0.5978296
159870,0.51614934
9804,0.61011934
8705,0.5564861
2627,0.55648357
77270,0.55651695
66509,0.55806404
4543,0.5359383
256680,0.5481347
301892,0.5781405
118979,0.56100756
197907,0.55431545
305338,0.55658555
173315,0.55714965
3820,0.55648565
218299,0.5977274
185986,0.043785293
76642,0.5648765
81789,0.5576908
54486,0.52908254
1190,0.5726777
163662,0.5746198
101622,0.562293
177755,0.55844605
64139,0.5757284
177081,0.57610834
254333,0.5322858
69338,0.55653644
172978,0.55648357
122600,0.5576625
119704,0.62001765
177583,0.59699607
246923,0.6210336
162865,0.6183085
155400,0.556484
145435,0.5580719
159044,0.618551
76010,0.6151013
302236,0.4705735
188432,0.62599564
100029,0.55648357
152310,0.62040514
13154,0.5452679
294803,0.12690273
45056,0.5564885
244483,0.3222507
46223,0.5564864
39519,0.54782414
146644,0.37443146
94695,0.5709122
151836,0.6184859
96610,0.60102
137050,0.5564868
95011,0.55936074
160727,0.6140765
282738,0.55918
151758,0.56042355
129342,0.5564842
139932,0.55661815
281773,0.56061953
146139,0.61923045
35725,0.55654424
164493,0.55659145
57400,0.12780951
226428,0.33550295
107707,0.58730906
1407,0.55648357
43263,0.5564839
260702,0.60860884
229736,0.57587594
145213,0.5168914
190176,0.5119783
185852,0.13259482
102096,0.551091
37662,0.56461155
189419,0.49480003
798,0.5568819
9644,0.6036256
237599,0.6209492
99194,0.62045795
43909,0.556492
275183,0.61408585
43479,0.37625712
297956,0.22853756
110329,0.5828433
257705,0.5863789
297964,0.5611533
214065,0.62180066
105297,0.61602634
141294,0.5568324
210458,0.5586336
59292,0.19786204
160160,0.556521
287081,0.56360775
263958,0.61968845
196154,0.47811037
59760,0.0069009555
162270,0.5568736
151153,0.55650616
280065,0.60977185
66744,0.5565649
153696,0.5564836
143849,0.6198268
201675,0.6073223
77966,0.6108266
79557,0.5564837
67823,0.5633879
126757,0.5605534
62645,0.55951446
1682,0.55931383
120041,0.59540325
28714,0.57423717
57744,0.5570617
217657,0.5648594
5837,0.5567354
246597,0.6086806
156923,0.56002194
8951,0.589642
242028,0.5603293
143534,0.55851215
271379,0.60974085
31252,0.5565121
138158,0.15210547
289439,0.61826587
222137,0.6252744
69547,0.523027
87667,0.5698954
121101,0.5968327
276317,0.5897401
2085,0.002217017
287752,0.55345035
179396,0.6173041
147846,0.6137265
196497,0.6202631
115757,0.55820984
189910,0.62128603
139298,0.55649257
47929,0.55747765
268423,0.2039976
81549,0.5566627
255965,0.4752357
79050,0.5565169
48064,0.5262799
264650,0.10842608
240771,0.59318566
140192,0.5355386
11999,0.5564937
4132,0.55648357
20176,0.61756057
161246,0.24675396
150635,0.55648655
21956,0.0014628223
39242,0.55651605
238501,0.55654985
29439,0.5564836
286871,0.5858878
4051,0.5485572
76997,0.5663292
254438,0.4384126
261780,0.56985885
230742,0.5942349
260059,0.5846003
96939,0.60369146
93048,0.44065124
47773,0.5564908
145837,0.55705726
89855,0.55648446
20239,0.5565691
109813,0.10316107
133867,0.20944165
288942,0.5800331
299568,0.41389325
80356,0.2880964
95989,0.62021327
302750,0.55648357
268736,0.59509325
104938,0.5632834
162568,0.0006804781
60429,0.13667955
93988,0.5575049
44533,0.011207844
298685,0.11171867
81616,0.5485073
60297,0.52134687
56178,0.5564838
88337,0.62306017
230280,0.590922
132878,0.5633971
90977,0.58860755
117736,0.57620615
145051,0.12890866
134906,0.5005268
293134,0.5001588
248941,0.62123317
76898,0.6191204
212980,0.018732743
44844,0.55648357
149219,0.5580285
289776,0.5544052
251594,0.3645503
194165,0.20376407
264682,0.6217438
134530,0.5666823
3292,0.00022208176
65525,0.55775505
61240,0.5604547
983,0.5597041
40605,0.5565001
116905,0.5574409
183653,0.54699683
160833,0.53434294
155936,0.55650187
86421,0.5679394
39638,0.5566285
26894,0.55648476
161876,0.56231695
115335,0.5851769
96813,0.57260436
111573,0.5570353
269036,0.4495908
223581,0.6181878
225218,0.06163559
43925,0.5596154
234599,0.6215649
159443,0.55652094
93070,0.33337307
208360,0.4549343
242098,0.57703775
106534,0.57454664
239116,0.6164978
227843,0.55721927
259473,0.5719643
111376,0.5411498
276618,0.5569127
44425,0.012446828
137813,0.5660044
145598,0.5587489
210644,0.084244296
259148,0.57311606
137737,0.5997899
100009,0.5564842
22008,0.5564846
168897,0.5688535
172477,0.55648357
43000,0.55648357
128372,0.6090763
21895,0.5565801
238755,0.605098
17294,0.616857
42684,0.53342557
250515,0.5813536
107619,0.616246
203493,0.56610894
229487,0.6165602
240930,0.600626
50376,0.55650336
190385,0.036671486
109175,0.5770787
264003,0.56572336
55392,0.35777503
32448,0.5580891
2904,0.55656415
281369,0.5175154
245451,0.6086629
90242,0.5586704
86493,0.5702725
243726,0.5972631
44645,0.55648655
201368,0.49926782
132504,0.56751883
123655,0.5630143
284327,0.6426135
19211,0.55648476
155865,0.55648726
187006,0.3919273
98721,0.55648416
193670,0.5895329
184195,0.58028984
7442,0.62005085
257656,0.60036945
81416,0.15972503
288002,0.03993287
247429,0.5940824
207138,0.62053365
197066,0.55538404
251156,0.5767268
236133,0.35302678
209255,0.5959748
100358,0.57947046
242326,0.5833343
175748,0.5583567
236684,0.5688049
277850,0.5979851
296794,0.5727446
741,0.5977913
186706,0.58725953
234514,0.2839267
117540,0.5565124
18143,0.08483431
97221,0.5602701
18404,0.37842196
258496,0.60332555
218996,0.56520474
143752,0.5728721
50887,0.55648357
301068,0.6201006
171031,0.55661994
122460,0.5700636
43489,0.56178015
258484,0.5759569
52910,0.5569161
238799,0.5593958
119374,0.56304
277182,0.15916297
161487,0.0006289986
63822,0.55648535
220595,0.6234287
38982,0.55648357
303087,0.6181431
178436,0.61686057
50750,0.119994156
260541,0.61817485
31197,0.5569519
39252,0.5676849
150497,0.55648357
20403,0.56467557
26919,0.6138982
167863,0.55648357
239061,0.50366616
280087,0.06792165
241064,0.18511978
73892,0.55652905
262154,0.59218633
9072,0.5565157
212153,0.57486963
103398,0.55835897
290968,0.022295654
169539,0.55648357
286767,0.57048714
133201,0.55691725
277050,0.61716926
219606,0.5587206
156425,0.55648357
82239,0.55648834
184944,0.578343
192365,0.5568078
15130,0.5564836
68651,0.55648357
197465,0.025441764
114708,0.5572302
265870,0.6143347
106858,0.55796957
288540,0.38121924
142913,0.19039232
160036,0.61575717
19758,0.55648595
84367,0.6105718
134683,0.5564854
23682,0.5564838
158375,0.48446172
95373,0.5564838
108061,0.55648386
9752,0.55650836
148755,0.556486
1742,0.5748074
50984,0.5618742
191597,0.027901337
265920,0.62028784
166871,8.045052e-05
98855,0.22074698
175543,0.58265424
219938,0.29639176
239586,0.6002557
45164,0.56242675
91433,0.59745455
148683,0.5621592
295345,0.60578907
88146,0.5406842
6977,0.5375034
253978,0.55967873
108202,0.6196862
184763,0.46995983
203500,0.55875003
266782,0.48678127
273864,0.32220006
121063,0.56611526
300309,0.6389057
298500,0.61018693
296394,0.21237125
264101,0.59831417
118187,0.5585898
266589,0.08254017
154939,0.55648386
8246,0.004155727
364,0.5565019
33298,0.55648357
38639,0.46985823
23656,0.55648386
182098,0.56738853
220607,0.41411367
161621,0.5565967
149233,0.58367395
9883,0.5567359
111279,0.55648357
101865,0.58902156
275343,0.5991452
112792,0.6178798
85803,0.6153007
97598,0.28403375
201526,0.6168328
303065,0.62774366
81258,0.60570234
101877,0.5564847
45627,0.5564837
37556,0.5564844
229672,0.2671013
244863,0.54669064
263071,0.5552868
103340,0.55648965
1993,0.035180356
152802,0.5584259
125933,0.5842189
292537,0.08349425
143171,0.5567687
232213,0.58374757
210065,0.61972475
255762,0.58117193
78311,0.58482844
303576,0.45203748
123990,0.5567769
161302,0.55648357
238347,0.57320243
172809,0.5569934
145097,0.6235318
188908,0.021261131
303259,0.2691632
281876,0.6203307
158493,0.48515335
233697,0.55916953
245104,0.6209852
105628,0.5566097
131237,0.5963544
130951,0.556524
27603,0.55648357
293837,0.5802811
157025,0.5564841
289243,0.013046135
47621,0.55648994
5929,0.5718549
171006,0.58485806
171610,0.55908424
129117,0.5631968
27361,0.41998184
296709,0.5894347
166565,0.5777325
253476,0.55711854
74553,0.55801654
177788,0.5959508
87827,0.56107384
243585,0.5701343
275594,0.40583536
20968,0.55648357
106602,0.5921147
290655,0.5777519
230522,0.61940885
99969,0.54950213
136043,0.5444437
129252,0.55648565
129543,0.5565432
261602,0.21025412
90197,0.5626618
41009,0.39656404
118964,0.55662256
112373,0.55655056
295241,0.57367694
131167,0.45477813
298088,0.6197227
105885,0.620968
179777,0.62138504
259659,0.60484457
116954,0.55716205
84525,0.62059957
51415,0.55656004
70741,0.55697674
107640,0.14455317
289585,0.623202
205276,0.6206191
55248,0.5567112
20766,0.5617349
155070,0.5564876
88330,0.5967415
101216,0.6110793
177147,0.54235923
31488,0.032339543
184135,0.48162562
204222,0.5318768
301889,0.5038678
104126,0.5646737
77876,0.574662
225504,0.5168418
114685,0.5298087
303321,0.5230309
173416,0.5396644
58407,0.5580351
204777,0.5029211
111564,0.58468115
179873,0.62063074
119199,0.34045434
54333,0.5613915
14546,0.55648357
96105,0.6188927
15903,0.38246158
275898,0.5799305
292599,0.565215
78552,0.5653327
144158,0.5747351
52690,0.609719
132141,0.5565757
214343,0.6226836
295997,0.016254716
258957,0.11671548
118452,0.5564839
99591,0.591682
22461,0.55755943
67951,0.55648357
24010,0.5954289
233766,0.44622648
67265,0.59739584
56226,0.00010532084
286669,0.0091026025
271583,0.22396153
131819,0.6211688
175081,0.3134491
62341,0.5818555
235716,0.5589691
171469,0.556485
130802,0.56840926
71541,0.6101683
2929,0.55797714
92203,0.5564836
254164,0.59121925
198927,0.065332554
242274,0.55658454
232182,0.5583046
57764,0.6189782
28212,0.56511647
14235,0.5174908
111596,0.61280954
174943,0.5151484
244346,0.12778145
82857,0.55648357
242751,0.59070027
244571,0.59013313
291168,0.6092928
177659,0.3556124
168102,0.5597781
132681,0.050390083
28395,0.5567654
190920,0.61527795
11867,0.55648357
199336,0.60504055
61219,0.5566148
106820,0.5905161
167361,0.55650806
90011,0.5600198
295156,0.61881584
271596,0.5587614
129740,0.55648357
127155,0.6201039
34178,0.59851784
151474,0.6011853
264528,0.5564842
186259,0.6273145
135901,0.5565131
106562,0.55648404
198155,0.63590026
57530,0.5565263
50149,0.10340466
124149,0.57088673
12131,0.5564903
190326,0.56609046
34611,0.5646338
106288,0.58030653
279853,0.5905903
79043,0.5565355
113704,0.5568215
145650,0.5564836
170132,0.6178072
179571,0.6007484
125840,0.5564836
84328,0.60122985
34216,0.55671376
235825,0.5019141
157430,0.5564841
210230,0.030572398
275856,0.6189739
139348,0.60686123
275116,0.6218643
102905,0.62075984
188533,0.48330572
111229,0.56606525
79015,0.5701792
284741,0.5751981
118883,0.56655955
114445,0.47598708
22245,0.55657786
298379,0.61799234
245250,0.61925256
292899,0.46121395
207399,0.10510281
149707,0.55852616
12950,0.5565428
157881,0.0012741855
260429,0.5888303
101864,0.55899733
245040,0.5752802
6251,0.55652297
275725,0.58093214
87943,0.5565654
168484,0.6155692
65340,0.0020136205
256395,0.5667988
268165,0.61620283
46335,0.06621955
281275,0.5797559
126838,0.6205628
85077,0.6207518
146911,0.55649847
273895,0.0100588575
233097,0.35027528
261471,0.449247
135926,0.58200055
211654,0.16421048
116499,0.55648357
280126,0.55083066
184724,0.6184766
153990,0.5564846
75694,0.6199026
51888,0.5684207
25255,0.56288034
258660,0.57797134
9310,0.55648357
28829,0.5569233
27593,0.5828025
231445,0.6214375
80000,0.56557137
253849,0.6211886
94777,0.60203284
80806,0.5565065
144445,0.6219067
263992,0.04816927
274300,0.6253561
60098,0.5564909
10256,0.55648386
109089,0.5573912
72110,0.5564836
62891,0.20685618
62358,0.5566902
217772,0.3722916
30524,0.5578375
217938,0.46962348
63186,0.5969845
185163,0.45087016
118030,0.55648947
245277,0.61545557
133077,0.5568912
277664,0.6192916
264226,0.0002363631
144920,0.61947966
274061,0.5821476
98514,0.5566747
233782,0.6205348
252768,0.32023838
209342,0.35992432
131529,0.553166
269852,0.5879815
113920,0.55648524
257612,0.61946356
99621,0.5564915
36199,0.5955083
262914,0.59217787
194878,0.6205606
185260,0.39387906
7137,0.0001870267
227809,0.042935558
57973,0.5564836
134267,0.32942322
221684,0.55772775
174642,0.5721035
9386,0.61253923
14413,0.5568465
88553,0.5564849
48368,0.5566394
26911,0.5564836
297292,0.6221464
75470,0.5440544
136609,0.61848
148503,0.61017656
177955,0.5933411
277570,0.12989113
227006,0.55658984
191920,0.57133
197958,0.5615283
226618,0.4486447
58192,0.55648357
100575,0.6049026
254334,0.5564858
286414,0.6190231
126787,0.5608196
218055,0.4859228
70010,0.5565795
186966,0.5890012
298881,0.62142116
257529,0.5565274
143652,0.6181454
147553,0.5564888
199750,0.60299176
273513,0.5985614
95158,0.25339532
241122,0.6218383
80590,0.5569285
202947,0.58748233
103855,0.57439953
287877,0.62280333
207916,0.24407794
236350,0.5727313
144086,0.6213731
272911,0.60278594
229762,0.42786297
269993,0.51786005
103979,0.59279096
137385,0.58851
261973,0.6060364
78791,0.60034657
304261,0.6002151
254908,0.56563103
127871,0.38345382
194945,0.5577622
15665,0.47175035
133983,0.5565783
142563,0.55648655
10339,0.556626
257815,0.54155165
160367,0.5564855
269451,0.5474519
72847,0.55724865
169802,0.55648357
78268,0.5816652
50204,0.19168124
155353,0.563324
109396,0.5567305
249526,0.61085635
192046,0.5773722
262744,0.620797
213793,0.61023307
119069,0.6194786
211713,0.55469
203682,0.09567304
147800,0.56681275
9695,0.55655736
236445,0.5822815
251046,0.5941684
274832,0.6192002
14954,0.0022272014
247465,0.55133706
5068,0.61845315
37118,0.58463925
230833,0.59136784
176469,0.046124365
31014,0.5565269
285055,0.54339963
247510,0.59525454
119294,0.028542712
148029,0.55698574
285621,0.0047271308
151620,0.55970734
233190,0.51575863
6736,0.5580517
32418,0.55648357
87120,0.5945035
237559,0.55657256
261684,0.57988274
143614,0.28778297
155043,0.55652004
76976,0.5772657
89782,0.6203921
154736,0.55841446
299766,0.600951
106584,0.5564913
301625,0.46872914
112529,0.5851424
188683,0.5656622
75156,0.5564851
220357,0.57696587
133554,0.5602441
279091,0.61139566
23247,0.5575859
2837,0.55650204
172489,0.556486
142584,0.58497024
109730,0.6200899
163488,0.55649006
130962,0.55648357
149711,0.60441273
167802,0.5624897
183204,0.5917672
182827,0.61948085
9506,0.55649614
13748,0.55649745
162893,0.5757114
10576,0.5564901
153576,0.5725173
352,0.556484
286146,0.59995025
80417,0.55657387
216123,0.55783474
237389,0.5893939
157994,0.5579265
305550,0.048316684
147379,0.6113967
166438,0.55651194
171002,0.0022661425
216913,0.55693114
265528,0.6210543
51523,0.5585111
199115,0.55934787
94423,0.5564868
39223,0.55648357
14822,0.5109873
252570,0.62172234
146465,0.5584337
15390,0.5570077
82347,0.4638786
76212,0.5569358
170389,0.5564854
108707,0.5557358
47998,0.55648446
256347,0.5564906
221154,0.5577536
226686,0.5920285
221922,0.27654558
114967,0.62007236
176944,0.56877893
227556,0.5672276
148792,0.5708097
87743,0.5573524
188441,0.5878637
104162,0.55648357
282236,0.6186097
24213,0.5564841
197633,0.6225825
151563,0.56600416
276736,0.6117384
191411,0.59044677
184594,0.54647934
